Transaction Date,Description,City,Country,TXN Currency,TXN Amount,OMR Amount
2025-09-03,LULU HYPERMARKET,Muscat,OMN,OMR,-63.37,-63.37
2025-09-04,OMAN OIL STATION,Muscat,OMN,OMR,-22.58,-22.58
2025-09-05,STARBUCKS MUSCAT,Muscat,OMN,OMR,-6.28,-6.28
2025-09-05,TALABAT PRO,Muscat,OMN,OMR,-9.52,-9.52
2025-09-05,SHELL OMAN,Muscat,OMN,OMR,-25.685,-25.685
2025-09-06,WINDROSE CAFE,Muscat,OMN,OMR,-4.391,-4.391
2025-09-08,OIFC,Muscat,OMN,OMR,-31.697,-31.697
2025-09-09,SOURDOUGH RESTAURANT,Muscat,OMN,OMR,-17.358,-17.358
2025-09-10,SPAR SUPERMARKET,Muscat,OMN,OMR,-36.279,-36.279
2025-09-10,MARHABA LOUNGE,Muscat,OMN,OMR,-143.231,-143.231
2025-09-10,VOX CINEMAS,Muscat,OMN,OMR,-17.149,-17.149
2025-09-11,MEAT MOOT,Muscat,OMN,OMR,-15.141,-15.141
2025-09-11,NOON FOOD,Muscat,OMN,OMR,-12.071,-12.071
2025-09-14,MCDONALDS MUSCAT,Muscat,OMN,OMR,-15.712,-15.712
2025-09-15,OOREDOO OMAN,Muscat,OMN,OMR,-11.892,-11.892
2025-09-15,ADIDAS MUSCAT,Muscat,OMN,OMR,-33.056,-33.056
2025-09-15,FUNTAZMO,Muscat,OMN,OMR,-8.284,-8.284
2025-09-16,FILLI CAFE,Muscat,OMN,OMR,-6.307,-6.307
2025-09-16,IMPERIAL KITCHEN,Muscat,OMN,OMR,-8.104,-8.104
2025-09-17,NOON FOOD,Muscat,OMN,OMR,-9.362,-9.362
2025-09-20,PAYMENT RECEIVED,Muscat,OMN,OMR,752.876,752.876
2025-09-21,LULU HYPERMARKET,Muscat,OMN,OMR,-48.986,-48.986
2025-09-21,SHELL OMAN,Muscat,OMN,OMR,-15.077,-15.077
2025-09-21,DONATION PORTAL,Muscat,OMN,OMR,-18.146,-18.146
2025-09-22,FILLI CAFE,Muscat,OMN,OMR,-3.398,-3.398
2025-09-22,NOON FOOD,Muscat,OMN,OMR,-12.855,-12.855
2025-09-22,AL SHIFA PHARMACY,Muscat,OMN,OMR,-24.049,-24.049
2025-09-24,LULU HYPERMARKET,Muscat,OMN,OMR,-63.33,-63.33
2025-09-24,KHEDMAH,Muscat,OMN,OMR,-27.878,-27.878
2025-09-25,AL RAVI RESTAURANT,Muscat,OMN,OMR,-12.748,-12.748
2025-09-26,DECATHLON MUSCAT,Muscat,OMN,OMR,-31.095,-31.095
2025-09-27,STARBUCKS MUSCAT,Muscat,OMN,OMR,-15.087,-15.087
2025-10-03,FILLI CAFE,Muscat,OMN,OMR,-13.204,-13.204
2025-10-05,AL SHIFA PHARMACY,Muscat,OMN,OMR,-26.957,-26.957
2025-10-06,TALABAT PRO,Muscat,OMN,OMR,-6.935,-6.935
2025-10-06,NAMA WATER,Muscat,OMN,OMR,-52.377,-52.377
2025-10-07,AL FAIR,Muscat,OMN,OMR,-41.92,-41.92
2025-10-07,AL RAVI RESTAURANT,Muscat,OMN,OMR,-10.643,-10.643
2025-10-07,MCDONALDS MUSCAT,Muscat,OMN,OMR,-12.412,-12.412
2025-10-07,CENTREPOINT MUSCAT,Muscat,OMN,OMR,-63.461,-63.461
2025-10-08,MARHABA LOUNGE,Muscat,OMN,OMR,-67.71,-67.71
2025-10-09,MUSCAT FESTIVAL,Muscat,OMN,OMR,-18.863,-18.863
2025-10-10,OIFC,Muscat,OMN,OMR,-20.143,-20.143
2025-10-11,ROUND TABLE CAFE,Muscat,OMN,OMR,-14.529,-14.529
2025-10-14,OMAN OIL STATION,Muscat,OMN,OMR,-24.2,-24.2
2025-10-15,AL FAIR,Muscat,OMN,OMR,-69.811,-69.811
